model_name,embedding_dim,eval_run_id,run_dir,report_path,eval_input,query_pooling,query_retrieval_mode,index_type,topk_list,metric_group,k,metric_name,metric_key,metric_value,valid_eval_rows
BAAI/bge-m3,1024,20260306143956_BAAI__bge-m3_20260305121459776,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_BAAI__bge-m3_20260305121459776,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_BAAI__bge-m3_20260305121459776/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.04841180414579182,429544
Qwen/Qwen3-Embedding-0.6B,32,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_32/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.031368148548227885,429544
Qwen/Qwen3-Embedding-0.6B,64,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_64/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.0412926265993705,429544
Qwen/Qwen3-Embedding-0.6B,128,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_128/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.046467882219283704,429544
Qwen/Qwen3-Embedding-0.6B,256,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_256/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.04940122548563127,429544
Qwen/Qwen3-Embedding-0.6B,512,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_512/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.05064207624830052,429544
Qwen/Qwen3-Embedding-0.6B,1024,20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-0.6B_20260305125427028/dim_1024/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.051259009554318065,429544
Qwen/Qwen3-Embedding-4B,32,20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706/dim_32/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.031787197586277544,429544
Qwen/Qwen3-Embedding-4B,64,20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706/dim_64/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.04108310208034567,429544
Qwen/Qwen3-Embedding-4B,128,20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/outputs/eval/last/20260306143956_Qwen__Qwen3-Embedding-4B_20260305133330706/dim_128/run_eval_report.json,/Users/daboluo/MyWorkSpace/GitHub/TextEmbed-Book-RecSys/data/processed/eval_u6_i5_q5.jsonl,last,pooling,hnsw,"10,50,100",@10,10,hit_rate,hit_rate@10,0.048039316111969904,429544
